                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.6978,                0.79667,                0.90556,                0.82763,                0.69372,                0.77146,                0.59617,                0.67296,                0.87186,                0.89154,              0.0095206,              0.0095206,              0.0095206
                     84,                0.69141,                0.78489,                0.90051,                 0.8434,                0.68586,                0.77648,                0.60314,                0.64189,                0.86139,                0.88249,              0.0094856,              0.0094856,              0.0094856
                     85,                0.69802,                0.78842,                0.90452,                0.79807,                0.71204,                0.78594,                 0.6032,                0.63817,                0.83271,                0.88329,              0.0094506,              0.0094506,              0.0094506
                     86,                0.69359,                0.78442,                0.90462,                0.84229,                0.68063,                0.77608,                 0.6009,                0.63854,                0.83052,                0.88071,              0.0094156,              0.0094156,              0.0094156
                     87,                0.70536,                0.78108,                0.91054,                0.85923,                0.67111,                0.77528,                0.59503,                0.67649,                0.87843,                0.89477,              0.0093806,              0.0093806,              0.0093806
                     88,                0.69995,                0.77867,                0.90425,                0.83297,                0.70419,                0.79056,                0.61341,                0.64306,                0.83337,                0.87995,              0.0093456,              0.0093456,              0.0093456
                     89,                0.68926,                0.76364,                0.89965,                0.82002,                0.70942,                 0.7866,                 0.6103,                0.64804,                0.84632,                0.88152,              0.0093107,              0.0093107,              0.0093107
                     90,                 0.6937,                0.76543,                0.90655,                0.86446,                0.73037,                0.79969,                0.61673,                0.65695,                0.80492,                0.88505,              0.0092757,              0.0092757,              0.0092757
                     91,                0.69476,                0.76891,                 0.9023,                0.84058,                 0.7199,                0.80035,                0.62235,                0.65714,                0.82479,                 0.8855,              0.0092407,              0.0092407,              0.0092407
                     92,                 0.6899,                0.75689,                0.89973,                0.85633,                 0.7199,                0.79644,                0.61197,                0.64888,                0.83792,                0.88032,              0.0092057,              0.0092057,              0.0092057
                     93,                0.68369,                0.75505,                0.89893,                0.81208,                0.73298,                0.79333,                0.61311,                0.65738,                 0.8615,                0.88684,              0.0091707,              0.0091707,              0.0091707
                     94,                0.68311,                0.74835,                0.89476,                0.81582,                 0.7199,                0.77346,                0.59618,                0.66044,                0.89846,                0.88514,              0.0091357,              0.0091357,              0.0091357
                     95,                0.68079,                0.75424,                0.89857,                0.83277,                0.74307,                  0.799,                0.62059,                0.62495,                 0.8263,                0.87385,              0.0091007,              0.0091007,              0.0091007
                     96,                0.67637,                0.74326,                0.89495,                0.83395,                0.72775,                0.80566,                0.63234,                0.64192,                0.81803,                   0.88,              0.0090657,              0.0090657,              0.0090657
                     97,                0.67992,                0.73769,                0.89047,                0.86199,                0.71944,                 0.8076,                0.63307,                0.61902,                0.81369,                0.86604,              0.0090307,              0.0090307,              0.0090307
