                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.66312,                0.81767,                 0.9623,                0.84123,                0.68063,                0.80093,                0.63763,                0.57619,                0.91478,                0.90324,              0.0095556,              0.0095556,              0.0095556
                     83,                0.65662,                0.81369,                0.96024,                0.84134,                 0.6802,                0.80161,                0.63982,                0.57124,                0.89597,                0.90036,              0.0095206,              0.0095206,              0.0095206
                     84,                0.66402,                 0.8236,                0.96236,                 0.8112,                0.70863,                 0.8091,                0.64373,                0.57618,                0.88804,                0.90275,              0.0094856,              0.0094856,              0.0094856
                     85,                0.66243,                0.81556,                0.95658,                0.84652,                0.68848,                0.81192,                0.64595,                0.57355,                0.87586,                0.89842,              0.0094506,              0.0094506,              0.0094506
                     86,                0.66284,                0.81736,                 0.9567,                0.82233,                0.70276,                0.81355,                0.64765,                0.57417,                0.87377,                0.89773,              0.0094156,              0.0094156,              0.0094156
                     87,                0.65203,                0.79717,                0.95362,                0.78605,                0.74059,                0.81395,                0.64977,                0.57212,                0.87691,                0.89625,              0.0093806,              0.0093806,              0.0093806
                     88,                0.66415,                0.81059,                0.95904,                0.88128,                0.68015,                0.81481,                0.65157,                0.56544,                 0.8864,                0.89371,              0.0093456,              0.0093456,              0.0093456
                     89,                0.65359,                0.78639,                0.95789,                0.84085,                0.71466,                0.81582,                0.65566,                0.56413,                0.87059,                0.89264,              0.0093107,              0.0093107,              0.0093107
                     90,                0.65712,                0.80188,                0.95323,                0.84516,                0.70681,                0.81483,                  0.656,                 0.5711,                0.87828,                0.89576,              0.0092757,              0.0092757,              0.0092757
                     91,                0.65567,                0.79185,                 0.9562,                0.84228,                0.71466,                0.81668,                0.65653,                0.56933,                0.86271,                0.89433,              0.0092407,              0.0092407,              0.0092407
                     92,                0.65832,                0.80395,                0.95742,                0.87347,                0.68325,                0.80921,                0.64944,                0.56951,                0.86929,                 0.8959,              0.0092057,              0.0092057,              0.0092057
                     93,                0.64525,                0.78289,                0.94892,                0.89878,                0.67539,                 0.8129,                0.64843,                0.56875,                0.86681,                0.89605,              0.0091707,              0.0091707,              0.0091707
                     94,                0.64757,                0.77288,                 0.9507,                0.90111,                0.68063,                0.81699,                 0.6501,                0.56824,                0.87114,                0.89597,              0.0091357,              0.0091357,              0.0091357
                     95,                0.63716,                0.77119,                0.94251,                0.89716,                0.68512,                0.81807,                0.65027,                0.56724,                0.86685,                0.89541,              0.0091007,              0.0091007,              0.0091007
                     96,                0.64144,                0.77602,                0.94742,                0.87984,                0.69372,                0.82409,                0.65812,                0.56337,                  0.854,                0.89514,              0.0090657,              0.0090657,              0.0090657
                     97,                0.63866,                0.74845,                0.94525,                0.84881,                0.73037,                0.82706,                0.66068,                0.56326,                0.83871,                0.89495,              0.0090307,              0.0090307,              0.0090307
                     98,                0.64578,                0.77087,                0.95009,                 0.8665,                0.70681,                0.82202,                0.65658,                0.56898,                0.84187,                0.89864,              0.0089957,              0.0089957,              0.0089957
                     99,                0.64386,                0.77493,                0.94567,                0.86041,                0.71204,                0.82236,                0.65592,                0.56518,                 0.8418,                0.89553,              0.0089607,              0.0089607,              0.0089607
                    100,                0.64509,                0.77711,                0.95126,                0.83823,                0.73249,                0.82436,                0.65668,                0.56189,                0.83552,                0.89326,              0.0089257,              0.0089257,              0.0089257
                    101,                0.63731,                0.75468,                0.94356,                0.83889,                0.73607,                0.82809,                0.66194,                0.55814,                0.82635,                0.89073,              0.0088907,              0.0088907,              0.0088907
                    102,                0.64212,                 0.7524,                 0.9513,                0.83393,                0.73616,                0.83202,                0.66325,                0.55624,                0.82245,                0.88976,              0.0088558,              0.0088558,              0.0088558
                    103,                 0.6368,                0.75147,                0.94478,                0.84215,                0.74023,                0.83211,                0.66181,                0.55704,                0.82538,                 0.8901,              0.0088208,              0.0088208,              0.0088208
                    104,                0.63534,                0.76007,                0.94271,                0.84529,                0.74607,                0.83343,                0.66663,                0.55939,                 0.8243,                0.89159,              0.0087858,              0.0087858,              0.0087858
                    105,                0.63444,                0.74482,                0.94128,                0.85069,                0.74574,                0.83466,                0.66716,                0.55746,                 0.8213,                0.88997,              0.0087508,              0.0087508,              0.0087508
                    106,                 0.6396,                0.75743,                0.94594,                0.85869,                0.74346,                0.83871,                0.67152,                 0.5577,                0.81299,                0.89035,              0.0087158,              0.0087158,              0.0087158
                    107,                0.63388,                0.74167,                0.94415,                0.86205,                0.74607,                0.83774,                0.67128,                0.55554,                0.80874,                0.88934,              0.0086808,              0.0086808,              0.0086808
                    108,                0.63795,                 0.7411,                0.94401,                 0.8686,                0.74084,                 0.8386,                 0.6699,                0.55689,                0.80795,                0.88961,              0.0086458,              0.0086458,              0.0086458
                    109,                0.63693,                0.74401,                0.94418,                  0.872,                0.73037,                0.84022,                0.67391,                0.55888,                0.80832,                0.89109,              0.0086108,              0.0086108,              0.0086108
                    110,                0.63382,                0.73643,                0.94048,                0.90041,                0.71006,                0.84352,                0.67378,                0.55727,                0.80545,                0.89075,              0.0085758,              0.0085758,              0.0085758
