                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.96805,                 0.6372,                 1.1355,                0.96529,                0.80628,                0.90386,                0.74043,                0.88099,                0.71017,                 1.1544,              0.0074543,              0.0074543,              0.0074543
                     92,                0.97877,                0.63697,                 1.1411,                0.92572,                0.84293,                0.90316,                0.73278,                0.89307,                0.70892,                 1.1683,               0.007426,               0.007426,               0.007426
                     93,                0.97724,                 0.6323,                  1.142,                0.94185,                0.84031,                0.90884,                0.73664,                0.87647,                0.69487,                 1.1605,              0.0073977,              0.0073977,              0.0073977
                     94,                0.98215,                0.63514,                 1.1379,                0.92993,                 0.8377,                 0.9089,                0.73495,                0.88633,                0.70037,                 1.1625,              0.0073694,              0.0073694,              0.0073694
                     95,                0.96636,                 0.6307,                 1.1319,                0.93484,                0.82623,                0.90325,                0.73306,                0.88273,                0.71352,                 1.1568,              0.0073411,              0.0073411,              0.0073411
                     96,                0.96633,                0.62616,                 1.1321,                0.92455,                 0.8377,                0.91303,                0.74459,                0.87033,                0.69807,                 1.1472,              0.0073129,              0.0073129,              0.0073129
                     97,                 0.9701,                0.62838,                 1.1333,                0.93102,                0.84794,                0.91067,                0.74005,                0.87274,                0.70329,                 1.1526,              0.0072846,              0.0072846,              0.0072846
                     98,                0.96998,                 0.6226,                 1.1355,                0.93947,                0.83246,                0.91014,                0.73609,                0.88297,                0.70081,                 1.1581,              0.0072563,              0.0072563,              0.0072563
                     99,                0.95964,                0.60951,                 1.1279,                0.94398,                0.83813,                0.90241,                0.72839,                0.88471,                0.70725,                 1.1585,               0.007228,               0.007228,               0.007228
                    100,                0.96294,                0.61516,                 1.1272,                0.94896,                0.82742,                0.91037,                0.73733,                0.87439,                0.69355,                 1.1504,              0.0071997,              0.0071997,              0.0071997
                    101,                0.97135,                 0.6194,                 1.1355,                0.90368,                0.85961,                0.91295,                0.74023,                0.86897,                0.69356,                 1.1501,              0.0071714,              0.0071714,              0.0071714
                    102,                0.95652,                0.60257,                 1.1205,                0.91854,                0.85604,                0.91628,                0.74182,                0.87223,                0.68774,                 1.1506,              0.0071431,              0.0071431,              0.0071431
                    103,                0.95935,                0.60224,                 1.1237,                0.92121,                0.85602,                0.91418,                0.74265,                0.87565,                0.68869,                 1.1528,              0.0071149,              0.0071149,              0.0071149
                    104,                0.95398,                0.60314,                  1.123,                0.93754,                0.83508,                0.91462,                0.73991,                 0.8725,                0.68883,                 1.1539,              0.0070866,              0.0070866,              0.0070866
                    105,                0.94619,                0.60011,                 1.1155,                0.95481,                0.82957,                0.91474,                0.73937,                0.85875,                 0.6912,                 1.1426,              0.0070583,              0.0070583,              0.0070583
                    106,                0.96322,                0.60444,                  1.132,                0.95507,                0.83465,                0.91098,                0.74238,                0.85449,                0.69634,                 1.1415,                0.00703,                0.00703,                0.00703
                    107,                0.95377,                0.59234,                 1.1176,                  0.952,                0.83069,                0.91284,                0.74273,                0.85431,                 0.6873,                 1.1389,              0.0070017,              0.0070017,              0.0070017
                    108,                0.95867,                0.59737,                 1.1244,                0.93605,                0.83246,                0.91096,                0.74445,                0.85675,                0.69532,                 1.1406,              0.0069734,              0.0069734,              0.0069734
                    109,                0.95689,                0.59987,                 1.1243,                0.95417,                0.81757,                0.90832,                0.74428,                  0.856,                0.71775,                 1.1372,              0.0069451,              0.0069451,              0.0069451
                    110,                0.94767,                0.58535,                 1.1155,                0.96737,                0.81675,                0.91113,                0.74738,                0.84951,                0.70897,                 1.1351,              0.0069169,              0.0069169,              0.0069169
